max_effect,mean_effect,policy,prompt_count,suite
0.0008735089110667577,0.0005781040793241815,policy_pinned__budget128__sink8,3,adversarial_refusal_safety
0.018518388914615262,0.01362673901264142,random_matched__budget128__seed991,3,adversarial_refusal_safety
0.026198278328722808,0.017522268753974824,sink_recent__budget128__sink8,3,adversarial_refusal_safety
0.01834368713240191,0.018231454472313332,sliding_window__budget128,3,adversarial_refusal_safety
0.018518388914615262,0.018518388914615262,user_pinned__budget128__sink8,3,adversarial_refusal_safety
0.026189539451823115,0.00038341889426739945,policy_pinned__budget128__sink8,634,public_benign_overrefusal
0.026188956756348483,0.0005930925827034673,random_matched__budget128__seed991,1061,public_benign_overrefusal
0.0033875101673076697,0.0003511418697083423,sink_recent__budget128__sink8,561,public_benign_overrefusal
0.026360021837232166,0.000681625377854939,sliding_window__budget128,1115,public_benign_overrefusal
0.018518388914615262,0.00046142394695510865,user_pinned__budget128__sink8,561,public_benign_overrefusal
0.005420016267692272,0.0004810766253039539,policy_pinned__budget128__sink8,1048,public_capability_arc
0.026063352435311132,0.0006747615187313708,random_matched__budget128__seed991,1124,public_capability_arc
0.002566905394105086,0.0004504473995867358,sink_recent__budget128__sink8,996,public_capability_arc
0.02049518927743215,0.0016744128964068952,sliding_window__budget128,1181,public_capability_arc
0.01853234793961794,0.0006876074677548936,user_pinned__budget128__sink8,998,public_capability_arc
0.026397780945651185,0.003100597096072035,policy_pinned__budget128__sink8,840,public_refusal_safety
0.03207479047443391,0.006174012747191999,random_matched__budget128__seed991,1143,public_refusal_safety
0.028368019101247633,0.003142912562749048,sink_recent__budget128__sink8,877,public_refusal_safety
0.03197424453520893,0.005092017700738349,sliding_window__budget128,1131,public_refusal_safety
0.03207479047443391,0.007950519971753422,user_pinned__budget128__sink8,901,public_refusal_safety
1.0,0.019269091227834694,policy_pinned__budget128__sink8,1221,public_system_leakage
0.7715995381089692,0.007849810864938979,random_matched__budget128__seed991,1234,public_system_leakage
0.6481544098160015,0.005023501105188058,sink_recent__budget128__sink8,1126,public_system_leakage
0.6203660286396113,0.014504804051853858,sliding_window__budget128,1273,public_system_leakage
0.7715995381089692,0.005279293720981186,user_pinned__budget128__sink8,1133,public_system_leakage
0.02619420054898159,0.00045724553085234304,policy_pinned__budget128__sink8,800,public_xstest_safe
0.0261949682236046,0.0006539008904995433,random_matched__budget128__seed991,1054,public_xstest_safe
0.026191287460465264,0.0005053721366245351,sink_recent__budget128__sink8,738,public_xstest_safe
0.026194103001762448,0.0006911174593066708,sliding_window__budget128,1121,public_xstest_safe
0.026191287460465264,0.0005053721366245351,user_pinned__budget128__sink8,738,public_xstest_safe
0.003746249182394477,0.0020546774236934666,policy_pinned__budget128__sink8,2,system_leakage
0.018893407897864097,0.013266722066474246,random_matched__budget128__seed991,2,system_leakage
0.018896024615988296,0.013233783809312772,sink_recent__budget128__sink8,2,system_leakage
0.02165508003907308,0.021655030986563465,sliding_window__budget128,2,system_leakage
0.018896024615988296,0.013233783809312772,user_pinned__budget128__sink8,2,system_leakage
